Nation,Name,Position,Age,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Positioning,Penalties
Sweden,Isak Hien,CB,26,78,69,37,49,58,79,82,63,0,45
Sweden,Jacob Widell Zetterström,GK,27,71,75,70,59,74,38,67,36,67,12
Sweden,Jesper Karlström,CDM,30,75,64,57,72,71,71,78,66,0,48
Sweden,Kristoffer Nordfeldt,GK,36,72,70,69,72,70,50,71,51,71,13
Sweden,Lucas Bergvall,CM,19,77,75,63,76,77,71,73,77,0,53
Sweden,Mattias Svanberg,CM,26,76,73,70,74,76,66,73,77,0,57
Sweden,Taha Ali,LM,27,68,86,60,58,75,35,50,92,0,57
Sweden,Viktor Gyökeres,ST,27,87,90,86,73,81,36,91,88,0,88
Sweden,Yasin Ayari,CM,22,75,69,70,73,77,69,62,69,0,61
Tunisia,Ali Abdi,LB,31,76,86,62,70,73,69,75,83,0,41
Tunisia,Anis Slimane,CM,24,67,65,61,62,68,58,75,66,0,49
Tunisia,Dylan Bronn,CB,30,68,60,61,64,61,68,76,62,0,63
Tunisia,Elias Achouri,LM,26,72,85,64,65,74,32,58,86,0,62
Tunisia,Elias Saad,LW,25,72,74,67,67,77,31,59,82,0,55
Tunisia,Ellyes Skhiri,CDM,30,80,64,73,74,75,80,74,65,0,58
Tunisia,Ismaël Gharbi,LM,21,73,78,67,69,79,41,56,81,0,60
Tunisia,Montassar Talbi,CB,27,73,56,30,42,57,73,76,54,0,41
Tunisia,Mortadha Ben Ouanes,LB,31,69,72,60,68,68,66,65,73,0,63
Tunisia,Sebastian Tounekti,LM,23,69,78,62,62,70,24,63,79,0,56
Tunisia,Yan Valery,RB,26,71,62,52,63,68,70,74,69,0,41
Belgium,Alexis Saelemaekers,RM,26,79,80,67,75,81,66,63,83,0,44
Belgium,Amadou Onana,CDM,24,79,74,62,72,73,78,81,64,0,39
Belgium,Arthur Theate,CB,25,80,67,40,70,71,80,82,66,0,32
Belgium,Axel Witsel,CB,36,77,31,63,76,74,79,66,30,0,76
Belgium,Brandon Mechele,CB,32,76,49,40,55,56,80,78,46,0,35
Belgium,Charles De Ketelaere,CAM,24,82,70,79,80,83,56,68,71,0,69
Belgium,Dodi Lukébakio,RM,28,82,87,81,76,83,31,64,86,0,80
Belgium,Hans Vanaken,CAM,33,80,45,79,84,77,60,78,39,0,79
Belgium,Joaquin Seys,RB,20,72,81,35,67,69,67,66,82,0,41
Belgium,Jérémy Doku,LW,23,80,91,71,72,87,32,68,95,0,55
Belgium,Kevin De Bruyne,CM,34,87,66,83,92,84,65,72,65,0,83
Belgium,Leandro Trossard,LW,30,83,80,81,80,85,30,60,87,0,75
Belgium,Maxim De Cuyper,LB,24,80,76,73,80,79,75,75,78,0,78
Belgium,Nathan Ngoy,CB,22,67,78,44,49,67,65,74,76,0,24
Belgium,Nicolas Raskin,CDM,24,77,73,63,73,76,73,74,78,0,58
Belgium,Romelu Lukaku,ST,32,84,79,82,75,75,41,84,71,0,88
Belgium,Senne Lammens,GK,23,78,79,77,71,77,21,79,19,79,11
Belgium,Thibaut Courtois,GK,33,89,85,89,76,90,46,88,42,88,27
Belgium,Thomas Meunier,RB,34,76,63,74,72,71,75,81,60,0,65
Belgium,Timothy Castagne,RB,29,76,68,57,70,72,74,71,67,0,47
Belgium,Youri Tielemans,CM,28,85,54,79,85,80,75,72,51,0,75
Iran,Mehdi Taremi,ST,33,78,74,78,74,78,38,68,77,0,85
Egypt,Mohamed Abdelmonem,CB,26,74,62,40,63,61,74,74,63,0,44
Egypt,Mohamed Salah,RM,33,91,89,88,86,90,45,76,88,0,88
Egypt,Omar Marmoush,ST,26,84,89,85,76,86,34,71,87,0,79
Egypt,Ramy Rabia,CB,32,67,60,49,55,55,67,72,58,0,43
Spain,Aymeric Laporte,CB,31,82,51,50,74,70,83,77,46,0,44
Spain,Borja Iglesias,ST,32,80,62,82,71,74,40,77,59,0,90
Spain,Dani Olmo,CAM,27,85,73,79,83,87,50,56,78,0,66
Spain,Fabián Ruiz,CM,29,85,61,77,80,81,75,72,61,0,67
Spain,Ferran Torres,LW,25,83,83,81,79,83,35,68,86,0,74
Spain,Gavi,CM,21,83,76,66,78,85,68,70,77,0,51
Spain,Lamine Yamal,RM,18,89,85,81,86,90,23,53,88,0,69
Spain,Marc Cucurella,LB,27,84,75,64,79,80,82,79,77,0,57
Spain,Marcos Llorente,RB,30,84,89,79,78,81,78,82,87,0,65
Spain,Mikel Merino,CM,29,83,63,79,80,80,81,80,64,0,70
Spain,Oyarzabal,ST,28,82,77,83,81,82,42,65,78,0,86
Spain,Nico Williams,LM,23,86,93,76,80,87,36,66,94,0,62
Spain,Pau Cubarsí,CB,18,82,70,42,66,77,84,76,67,0,41
Spain,Pedri,CM,22,89,77,73,85,91,78,77,79,0,53
Spain,Pedro Porro,RB,26,82,78,73,81,80,77,76,78,0,66
Spain,Rodri,CDM,29,90,65,80,86,84,86,85,65,0,62
Spain,Unai Simón,GK,28,85,84,80,76,85,49,84,48,84,24
Spain,Yeremy Pino,RM,23,80,77,73,78,81,38,53,78,0,54
Spain,Álex Baena,LM,24,84,79,76,84,82,65,68,79,0,68
Cape Verde,Dailon Livramento,ST,24,70,82,71,56,68,34,64,79,0,70
Cape Verde,Jamiro Monteiro,CAM,32,69,72,59,70,72,54,68,68,0,65
Cape Verde,Jovane Cabral,LW,27,70,77,71,68,72,38,68,78,0,76
Cape Verde,Nuno da Costa,ST,34,74,82,73,63,73,27,65,80,0,69
Cape Verde,Ryan Mendes,LM,35,71,74,67,69,74,28,54,76,0,65
Cape Verde,Steven Moreira,CB,31,72,73,33,67,71,72,74,74,0,37
Cape Verde,Telmo Arcanjo,RM,24,71,74,61,68,71,38,60,75,0,60
Cape Verde,Wagner Pina,RM,23,71,81,51,64,70,64,65,83,0,38
Saudi Arabia,Ali Lajami,CB,29,70,76,48,58,60,68,77,78,0,47
Saudi Arabia,Mohammed Abu Al Shamat,RB,23,67,75,46,61,70,59,58,77,0,40
Saudi Arabia,Nawaf Boushal,LB,26,67,82,39,51,64,62,73,80,0,47
Saudi Arabia,Saud Abdulhamid,RB,26,75,86,46,66,71,69,70,86,0,48
Saudi Arabia,Sultan Mandash,RW,31,67,82,58,59,71,25,61,81,0,62
France,Adrien Rabiot,CAM,30,83,81,79,81,80,77,84,75,0,69
France,Aurélien Tchouaméni,CDM,25,84,71,69,79,78,81,82,73,0,55
France,Bradley Barcola,LW,23,84,90,77,78,84,39,66,88,0,66
France,Dayot Upamecano,CB,27,85,77,45,64,73,84,84,76,0,39
France,Désiré Doué,RW,20,85,83,80,77,90,55,74,85,0,71
France,Ibrahima Konaté,CB,26,86,77,34,63,69,86,85,69,0,41
France,Jean-Philippe Mateta,ST,28,82,75,84,70,77,41,81,69,0,83
France,Jules Koundé,RB,27,87,84,47,74,79,86,84,85,0,43
France,Kylian Mbappé,ST,26,91,97,90,81,92,37,76,97,0,82
France,Lucas Digne,LB,32,80,69,68,79,76,77,74,70,0,60
France,Maghnes Akliouche,RM,23,80,74,70,78,83,48,62,75,0,70
France,Malo Gusto,RB,22,79,84,45,75,78,73,74,87,0,45
France,Marcus Thuram,ST,28,85,86,83,76,82,50,80,84,0,70
France,Maxence Lacroix,CB,25,79,88,40,57,67,80,82,82,0,38
France,Michael Olise,RM,23,86,78,80,84,87,50,66,83,0,72
France,Mike Maignan,GK,30,87,84,83,85,88,64,84,65,84,15
France,Ousmane Dembélé,ST,28,90,91,88,83,93,50,69,93,0,80
France,Rayan Cherki,RW,22,81,75,75,80,88,21,65,75,0,66
France,Theo Hernández,LB,28,84,90,76,78,83,79,83,88,0,74
France,Warren Zaïre-Emery,CM,19,80,79,68,76,79,75,79,80,0,59
France,William Saliba,CB,24,87,77,39,68,72,87,83,76,0,47
Norway,Alexander Sørloth,ST,29,84,77,82,71,76,36,85,72,0,70
Norway,Andreas Schjelderup,LW,21,74,80,68,68,80,35,57,83,0,69
Norway,Antonio Nusa,LM,20,76,89,72,68,81,41,63,92,0,54
Norway,David Møller Wolfe,LB,23,73,78,53,65,69,67,77,77,0,48
Norway,Egil Selvik,GK,28,70,70,69,66,70,19,69,20,69,19
Norway,Erling Haaland,ST,25,90,86,91,70,80,45,88,79,0,90
Norway,Fredrik Bjørkan,LB,27,74,81,53,65,72,68,75,81,0,44
Norway,Fredrik Aursnes,CM,29,80,74,71,78,80,77,82,73,0,66
Norway,Henrik Falchener,CB,22,65,64,46,53,56,62,73,62,0,48
Norway,Jens Petter Hauge,LW,26,74,80,69,69,75,40,64,83,0,65
Norway,Julian Ryerson,RB,28,79,74,63,71,76,77,82,77,0,44
Norway,Jørgen Strand Larsen,ST,25,78,75,79,62,70,32,83,72,0,69
Norway,Kristian Thorstvedt,CM,26,75,61,71,74,73,67,82,55,0,62
Norway,Kristoffer Ajer,RB,27,75,67,56,65,68,74,81,63,0,49
Norway,Leo Østigård,CB,25,73,60,37,50,61,71,79,63,0,42
Norway,Marcus Pedersen,RB,25,72,89,49,68,71,64,66,88,0,53
Norway,Martin Ødegaard,CM,26,87,68,79,88,87,67,65,68,0,68
Norway,Morten Thorsby,CM,29,72,55,62,69,71,72,75,62,0,49
Norway,Oscar Bobb,RW,22,72,79,65,71,77,33,41,84,0,63
Norway,Patrick Berg,CDM,28,77,73,67,75,73,71,78,72,0,58
Norway,Sander Berge,CDM,27,79,55,65,74,71,75,84,54,0,54
Norway,Sondre Langås,CB,24,71,86,38,56,63,68,85,87,0,37
Norway,Thelo Aasgaard,CM,23,68,67,68,68,71,46,63,65,0,55
Norway,Torbjørn L. Heggem,CB,26,73,73,46,61,66,73,79,70,0,42
Norway,Ørjan Nyland,GK,35,76,76,75,77,75,47,74,47,74,25
Senegal,Assane Diao,LM,20,76,90,74,67,77,36,60,90,0,61
Senegal,Bamba Dieng,ST,25,71,78,72,60,68,33,60,79,0,72
Senegal,El Hadji Malick Diouf,LB,20,75,80,67,68,74,70,77,78,0,59
Senegal,Habib Diarra,CM,21,77,70,68,71,77,71,71,74,0,59
Senegal,Idrissa Gueye,CDM,36,79,60,59,70,73,80,70,66,0,55
Senegal,Iliman Ndiaye,LM,25,79,84,76,70,84,40,63,83,0,80
Senegal,Ismail Jakobs,LB,26,75,90,60,65,74,70,68,90,0,55
Senegal,Ismaïla Sarr,CAM,27,79,91,78,76,78,28,69,89,0,68
Senegal,Kalidou Koulibaly,CB,34,82,74,48,62,65,82,84,61,0,50
Senegal,Krépin Diatta,RM,26,74,88,69,67,76,57,67,90,0,59
Senegal,Lamine Camara,CM,21,77,79,66,78,77,71,69,82,0,55
Senegal,Mory Diaw,GK,32,70,70,70,71,72,43,70,44,70,29
Senegal,Moussa Niakhaté,CB,29,77,68,48,63,64,77,80,55,0,74
Senegal,Nicolas Jackson,ST,24,80,82,77,69,79,40,77,81,0,60
Senegal,Pape Gueye,CM,26,78,67,65,75,75,76,79,66,0,52
Senegal,Pape Matar Sarr,CM,23,79,68,66,76,78,77,76,71,0,54
Senegal,Pathé Ciss,CDM,31,77,63,57,64,65,76,87,64,0,40
Senegal,Sadio Mané,LM,33,83,82,81,78,85,44,75,81,0,75
Senegal,Édouard Mendy,GK,33,80,78,77,75,81,34,79,33,79,13
Iraq,Aimar Sher,CDM,22,67,62,47,61,69,61,66,72,0,44
Iraq,Ali Jasim,LM,21,62,67,62,57,63,22,59,68,0,58
Iraq,Amir Al-Ammari,CM,28,65,68,57,66,63,60,70,66,0,55
Iraq,Ibrahim Bayesh,LM,25,68,79,67,60,69,58,75,78,0,57
Iraq,Kevin Yakob,CM,25,66,66,61,66,68,59,64,68,0,55
Iraq,Marko Farji,LW,21,66,81,60,60,66,32,65,82,0,52
Iraq,Merchas Doski,LB,25,68,75,54,65,71,62,62,76,0,51
Iraq,Zidane Iqbal,CDM,22,68,64,60,64,73,63,62,68,0,52
Argentina,Alexis Mac Allister,CM,26,87,66,82,85,85,78,76,68,0,86
Argentina,Cristian Romero,CB,27,82,66,48,62,65,83,81,63,0,40
Argentina,Emiliano Martínez,GK,33,85,83,82,82,85,56,85,55,85,43
Argentina,Enzo Fernández,CM,24,84,68,75,85,81,73,75,68,0,73
Argentina,Exequiel Palacios,CM,27,84,62,76,80,82,81,71,72,0,72
Argentina,Facundo Medina,CB,26,79,74,44,70,72,79,81,67,0,44
Argentina,Giovani Lo Celso,CAM,29,82,68,81,82,84,68,71,67,0,65
Argentina,Giuliano Simeone,RM,22,81,91,73,72,81,45,81,92,0,62
Argentina,Gonzalo Montiel,RB,28,78,81,63,71,77,74,80,80,0,84
Argentina,Julián Alvarez,ST,25,87,85,87,81,87,57,79,86,0,78
Argentina,Lautaro Martínez,ST,28,88,81,88,75,84,51,83,83,0,74
Argentina,Leandro Paredes,CM,31,78,62,70,82,79,72,74,62,0,85
Argentina,Lionel Messi,RW,38,86,78,85,85,90,33,64,84,0,75
Argentina,Lisandro Martínez,CB,27,81,67,59,75,75,81,80,70,0,55
Argentina,Marcos Senesi,CB,28,78,56,42,70,72,79,75,62,0,40
Argentina,Nahuel Molina,RB,27,79,82,67,73,76,75,71,79,0,45
Argentina,Nico Paz,CAM,21,79,78,71,77,82,51,64,76,0,53
Argentina,Nicolás Otamendi,CB,37,82,60,57,64,62,83,85,54,0,45
Argentina,Nicolás Tagliafico,LB,33,78,67,56,70,76,77,76,74,0,46
Argentina,Rodrigo De Paul,CM,31,84,75,78,83,83,76,83,74,0,66
Argentina,Thiago Almada,CAM,24,79,79,74,79,83,51,58,86,0,75
Argentina,Valentín Barco,LB,21,75,76,50,75,78,68,61,77,0,67
Austria,Alexander Prass,LB,24,74,74,65,74,75,69,74,76,0,57
Austria,Alexander Schlager,GK,29,73,72,71,69,76,46,73,46,73,22
Austria,David Alaba,CB,33,82,68,71,82,79,82,75,64,0,79
Austria,Florian Grillitsch,CM,30,75,63,59,74,74,72,66,55,0,50
Austria,Kevin Danso,CB,27,79,73,32,57,62,78,83,65,0,42
Austria,Konrad Laimer,RB,28,82,82,69,76,75,81,76,82,0,54
Austria,Marcel Sabitzer,CDM,31,80,74,80,80,80,76,76,76,0,80
Austria,Marco Friedl,CB,27,77,75,44,64,69,79,77,67,0,45
Austria,Michael Gregoritsch,ST,31,75,37,77,68,68,42,76,36,0,64
Austria,Nicolas Seiwald,CDM,24,77,72,62,74,74,74,76,74,0,54
Austria,Patrick Wimmer,CAM,24,77,84,69,72,81,49,73,83,0,52
Austria,Philipp Lienhart,CB,29,79,67,28,59,64,81,78,62,0,41
Austria,Phillipp Mwene,LB,31,76,78,55,69,75,70,70,83,0,42
Austria,Romano Schmid,CAM,25,78,77,67,78,83,56,58,78,0,52
Austria,Saša Kalajdžić,ST,28,74,50,72,67,68,45,64,51,0,57
Austria,Stefan Posch,RB,28,79,75,55,68,66,80,74,71,0,38
Austria,Xaver Schlager,CDM,28,80,69,70,74,78,75,78,74,0,56
Algeria,Amine Gouiri,ST,25,79,77,82,76,80,45,71,79,0,78
Algeria,Aïssa Mandi,CB,34,75,57,46,71,67,75,73,59,0,35
Algeria,Farès Chaïbi,CAM,22,74,69,68,75,76,68,69,70,0,61
Algeria,Hicham Boudaoui,CM,26,77,73,67,74,77,74,76,74,0,54
Algeria,Houssem Aouar,CAM,27,77,66,72,75,82,65,65,68,0,79
Algeria,Ibrahim Maza,CAM,20,71,75,66,66,79,40,62,74,0,60
Algeria,Jaouen Hadjam,LB,22,69,79,54,59,69,65,72,77,0,52
Algeria,Mohamed Amoura,ST,25,80,90,81,71,86,47,61,94,0,74
Algeria,Nabil Bentaleb,CDM,31,77,50,72,77,79,71,73,51,0,83
Algeria,Rafik Belghali,RB,23,66,81,60,61,66,61,62,79,0,55
Algeria,Ramiz Zerrouki,CDM,27,73,62,66,69,72,68,80,65,0,57
Algeria,Ramy Bensebaini,LB,30,79,73,70,70,77,78,79,72,0,85
Algeria,Rayan Aït-Nouri,LB,24,81,84,53,76,84,77,70,85,0,42
Algeria,Riyad Mahrez,RM,34,84,78,80,81,88,39,63,81,0,73
Jordan,Musa Al Tamari,RM,28,75,89,69,67,80,38,63,88,0,62
Jordan,Yazan Al Arab,CB,29,75,79,29,46,52,73,83,70,0,34
Jordan,Musa Al Tamari,RM,28,75,89,69,67,80,38,63,88,73,62
Jordan,Yazan Al Arab,CB,30,75,79,29,46,52,73,83,70,32,34
Portugal,Bernardo Silva,CM,31,84,61,78,83,89,71,65,68,0,64
Portugal,Bruno Fernandes,CAM,31,87,67,83,89,83,65,75,68,0,91
Portugal,Cristiano Ronaldo,ST,40,85,76,88,76,80,34,76,73,0,91
Portugal,Diogo Costa,GK,26,84,83,78,82,86,35,83,33,83,14
Portugal,Diogo Dalot,RB,26,79,85,63,74,77,76,78,84,0,47
Portugal,Francisco Conceição,RM,22,79,87,68,73,85,36,50,88,0,59
Portugal,Gonçalo Ramos,ST,24,80,73,79,64,77,48,79,73,0,75
Portugal,João Cancelo,RB,31,84,83,73,84,84,78,74,88,0,52
Portugal,João Félix,CAM,26,79,77,78,77,82,45,66,79,0,70
Portugal,João Neves,CM,21,85,74,69,80,84,82,83,77,0,60
Portugal,Matheus Nunes,RB,27,79,85,70,76,79,73,76,78,0,62
Portugal,Nuno Mendes,LB,23,86,95,65,76,82,80,77,94,0,45
Portugal,Nélson Semedo,RB,32,77,79,56,69,77,73,73,79,0,38
Portugal,Pedro Neto,RM,25,80,91,76,74,82,40,68,92,0,65
Portugal,Rafael Leão,LW,26,84,93,78,80,86,28,75,93,0,63
Portugal,Renato Veiga,CB,22,76,73,60,73,72,75,82,67,0,60
Portugal,Rúben Dias,CB,28,86,59,39,69,69,86,84,55,0,45
Portugal,Rúben Neves,CDM,28,84,57,75,87,77,77,76,58,0,84
Portugal,Samú Costa,CDM,24,78,61,65,70,71,75,79,65,0,54
Portugal,Tomás Araújo,CB,23,78,82,30,69,72,77,79,81,0,39
Portugal,Vitinha,CM,25,89,72,80,86,90,75,70,75,0,88
Colombia,Daniel Muñoz,RB,29,81,75,69,72,76,79,81,76,0,58
Colombia,Davinson Sánchez,CB,29,82,82,58,63,73,82,88,80,0,44
Colombia,Deiver Machado,LB,32,76,84,69,71,76,71,76,83,0,57
Colombia,Gustavo Puerta,CM,22,68,61,60,68,72,62,67,66,0,49
Colombia,Jaminton Campaz,LM,25,76,85,72,72,77,30,57,86,0,50
Colombia,Jefferson Lerma,CDM,31,77,68,71,70,74,76,79,65,0,58
Colombia,Jhon Arias,RW,28,78,85,75,74,79,42,68,86,0,70
Colombia,Jhon Lucumí,CB,27,76,65,38,62,61,77,78,63,0,36
Colombia,Johan Mojica,LB,33,78,88,65,73,73,74,70,86,0,60
Colombia,Juan Fernando Quintero,CAM,32,77,62,76,79,81,41,54,69,0,78
Colombia,Kevin Castaño,CM,25,77,76,68,76,76,72,75,74,0,63
Colombia,Luis Díaz,LM,28,85,88,81,76,87,45,75,88,0,63
Colombia,Luis Javier Suárez,ST,27,77,83,77,66,75,38,78,82,0,72
Colombia,Richard Ríos,CM,25,79,81,70,77,82,72,82,83,0,53
Colombia,Yerry Mina,CB,31,77,34,50,52,55,77,84,33,0,69
DR Congo,Aaron Wan-Bissaka,RB,27,80,80,51,69,77,78,73,79,0,44
DR Congo,Arthur Masuaku,LB,32,75,79,62,74,78,68,79,77,0,49
DR Congo,Axel Tuanzebe,RB,28,73,76,36,64,68,73,75,74,0,50
DR Congo,Brian Cipenga,LM,27,66,81,58,59,66,33,63,80,0,52
DR Congo,Charles Pickel,CM,28,71,63,63,68,69,67,80,65,0,59
DR Congo,Cédric Bakambu,ST,34,77,78,78,68,72,40,68,77,0,78
DR Congo,Edo Kayembe,CM,27,71,72,66,69,70,67,78,70,0,66
DR Congo,Joris Kayembe,LB,31,74,79,60,71,74,66,74,76,0,41
DR Congo,Lionel Mpasi,GK,31,67,67,66,66,65,45,66,45,66,32
DR Congo,Nathanaël Mbuku,RM,23,70,73,63,68,74,35,53,78,0,64
DR Congo,Ngal'ayel Mukau,CDM,21,74,69,57,65,71,70,75,71,0,40
DR Congo,Noah Sadiki,CM,20,74,77,65,68,76,68,76,81,0,52
DR Congo,Simon Banza,ST,29,81,79,81,62,77,36,79,76,0,76
DR Congo,Steve Kapuadi,CB,27,71,65,33,45,50,70,83,63,0,35
DR Congo,Yoane Wissa,ST,29,82,85,82,70,80,31,71,83,0,79
Uzbekistan,Abdukodir Khusanov,CB,21,77,85,39,59,64,77,76,78,0,46
Uzbekistan,Eldor Shomurodov,ST,30,74,79,71,64,75,40,66,82,0,65
England,Anthony Gordon,LW,24,83,91,79,78,83,50,71,89,0,70
England,Bukayo Saka,RW,24,88,84,82,85,88,60,73,87,0,87
England,Dan Burn,CB,33,79,42,36,67,64,79,85,34,0,48
England,Declan Rice,CDM,26,87,72,73,84,80,83,83,71,0,71
England,Djed Spence,RB,25,78,88,44,71,79,74,72,87,0,37
England,Eberechi Eze,CAM,27,83,74,80,81,87,50,68,73,0,76
England,Elliot Anderson,CDM,23,80,71,68,79,81,77,78,75,0,65
England,Ezri Konsa,CB,28,82,75,53,71,75,84,78,72,0,38
England,Harry Kane,ST,32,89,64,92,83,82,48,82,62,0,95
England,Jarell Quansah,CB,22,75,70,34,59,68,74,75,66,0,45
England,John Stones,CB,31,82,64,58,74,75,84,72,65,0,52
England,Jordan Henderson,CDM,35,79,65,71,80,74,75,77,62,0,67
England,Jordan Pickford,GK,31,84,84,78,88,87,53,81,57,81,48
England,Jude Bellingham,CAM,22,90,80,86,83,90,78,85,81,0,74
England,Marc Guéhi,CB,25,82,69,39,69,73,83,78,68,0,38
England,Marcus Rashford,LM,28,80,87,82,77,80,33,63,87,0,85
England,Morgan Rogers,CAM,23,82,77,77,79,84,67,79,74,0,60
England,Nico O'Reilly,LB,20,73,73,66,72,73,69,70,71,0,59
England,Noni Madueke,RW,23,80,88,75,74,83,45,69,89,0,75
England,Ollie Watkins,ST,29,84,77,83,73,80,50,80,77,0,74
England,Reece James,RB,25,81,76,71,82,77,81,81,75,0,65
Croatia,Andrej Kramarić,CAM,34,81,67,82,78,84,33,73,70,0,92
Croatia,Ante Budimir,ST,34,82,59,84,63,76,35,80,54,0,86
Croatia,Dominik Livaković,GK,30,80,80,76,71,83,56,80,57,80,15
Croatia,Igor Matanović,ST,22,71,68,69,55,67,34,74,62,0,59
Croatia,Ivan Perišić,RW,36,81,75,80,81,79,69,75,74,0,77
Croatia,Josip Stanišić,CB,25,78,73,44,65,69,79,74,68,0,37
Croatia,Josip Šutalo,CB,25,78,77,32,62,72,78,80,75,0,39
Croatia,Joško Gvardiol,LB,23,84,78,71,75,78,84,82,77,0,61
Croatia,Luka Modrić,CM,40,83,68,74,86,86,70,62,72,0,83
Croatia,Luka Sučić,CM,23,78,76,76,78,77,68,72,80,0,65
Croatia,Luka Vušković,CB,18,72,58,59,57,58,70,77,53,0,50
Croatia,Marco Pašalić,RM,25,71,76,72,67,75,35,56,78,0,63
Croatia,Marin Pongračić,CB,28,74,61,26,52,62,74,76,56,0,30
Croatia,Mario Pašalić,CM,30,80,69,78,77,81,67,76,68,0,61
Croatia,Martin Baturina,CAM,22,78,77,70,78,83,59,66,77,0,70
Croatia,Mateo Kovačić,CM,31,83,67,74,81,83,73,72,70,0,59
Croatia,Nikola Vlašić,CAM,28,79,74,76,76,81,57,70,77,0,66
Croatia,Petar Musa,ST,27,76,82,75,61,71,41,81,81,0,64
Croatia,Petar Sučić,CM,22,74,69,68,72,77,61,74,70,0,57
Ghana,Abdul Fatawu,RM,21,76,83,73,74,78,46,64,87,0,64
Ghana,Rahman Baba,LB,31,76,77,66,69,74,72,78,74,0,60
Ghana,Antoine Semenyo,RM,25,80,80,78,73,81,40,79,78,0,69
Ghana,Brandon Thomas-Asante,ST,26,69,83,67,59,69,34,76,84,0,56
Ghana,Caleb Yirenkyi,CM,19,67,66,59,59,67,63,70,66,0,43
Ghana,Elisha Owusu,CDM,28,73,55,54,68,70,70,70,62,0,54
Ghana,Ernest Nuamah,RM,22,75,82,70,69,78,24,58,85,0,49
Ghana,Gideon Mensah,LB,27,74,76,57,65,72,68,67,77,0,46
Ghana,Iñaki Williams,RM,31,83,94,81,74,80,45,84,93,0,68
Ghana,Jerome Opoku,CB,27,72,59,43,54,59,73,80,63,0,39
Ghana,Jonas Adjetey,CB,21,70,70,23,47,50,71,71,72,0,37
Ghana,Jordan Ayew,RM,34,73,66,73,70,75,56,71,68,0,82
Ghana,Kamaldeen Sulemana,LM,23,71,88,63,63,76,28,59,90,0,55
Ghana,Kojo Peprah Oppong,CB,21,65,74,25,44,54,64,71,73,0,20
Ghana,Kwasi Sibo,CDM,27,69,63,54,58,65,67,79,59,0,52
Ghana,Prince Kwabena Adu,ST,22,70,73,69,57,67,26,66,70,0,61
Ghana,Thomas Partey,CDM,32,83,59,71,80,77,80,82,53,0,49
South Korea,Jens Castrop,CM,22,70,80,54,67,74,62,69,79,0,40
South Africa,Ime Okon,CB,21,67,77,30,44,59,68,70,79,0,34
South Africa,Lyle Foster,ST,25,72,81,72,61,69,36,73,79,0,65
South Africa,Sphephelo Sithole,CDM,26,65,64,53,59,61,64,74,63,0,51
Czech Republic,Adam Hložek,ST,23,77,78,78,72,77,31,79,78,0,66
Czech Republic,David Douděra,RM,27,74,89,66,65,72,65,67,88,0,45
Czech Republic,David Zima,CB,25,74,76,38,54,62,75,75,72,0,44
Czech Republic,Denis Višinský,LW,22,68,76,61,65,69,47,59,77,0,58
Czech Republic,Jaroslav Zelený,CB,33,72,74,62,69,70,71,75,72,0,51
Czech Republic,Ladislav Krejčí,CB,26,78,72,68,68,69,76,84,68,0,76
Czech Republic,Lukáš Provod,CAM,29,78,76,75,78,78,64,82,71,0,69
Czech Republic,Lukáš Červ,CDM,24,74,69,65,67,69,71,78,69,0,68
Czech Republic,Matěj Kovář,GK,25,75,74,75,78,75,30,77,26,77,15
Czech Republic,Michal Sadílek,CDM,26,76,53,58,75,71,72,79,74,0,62
Czech Republic,Mojmír Chytil,ST,26,74,73,72,55,68,29,81,71,0,66
Czech Republic,Patrik Schick,ST,29,85,72,83,71,81,38,77,72,0,61
Czech Republic,Pavel Šulc,CAM,24,77,71,73,74,77,39,64,72,0,60
Czech Republic,Robin Hranáč,CB,25,71,75,38,51,52,70,76,65,0,42
Czech Republic,Tomáš Chorý,ST,30,75,57,75,60,64,32,88,47,0,73
Czech Republic,Tomáš Holeš,CB,32,76,74,58,69,69,75,80,74,0,54
Czech Republic,Tomáš Souček,CDM,30,78,45,72,71,68,78,82,42,0,70
Czech Republic,Vladimír Coufal,RB,33,73,58,56,70,70,74,71,62,0,49
Czech Republic,Štěpán Chaloupek,CB,22,70,69,34,52,57,68,76,65,0,38
Bosnia and Herzegovina,Amar Dedić,RB,23,73,83,58,68,74,66,74,83,0,44
Bosnia and Herzegovina,Amar Memić,RM,24,72,81,69,68,73,48,61,84,0,60
Bosnia and Herzegovina,Amir Hadžiahmetović,CDM,28,73,65,60,73,72,70,73,66,0,55
Bosnia and Herzegovina,Arjan Malić,RB,20,63,62,29,50,51,62,67,59,0,34
Bosnia and Herzegovina,Armin Gigović,CM,23,72,65,61,70,74,60,74,69,0,54
Bosnia and Herzegovina,Benjamin Tahirović,CDM,22,67,51,50,62,66,62,71,51,0,56
Bosnia and Herzegovina,Dženis Burnić,CM,27,68,76,58,66,71,62,67,75,0,55
Bosnia and Herzegovina,Edin Džeko,ST,39,81,55,82,74,77,40,72,53,0,67
Bosnia and Herzegovina,Ermedin Demirović,ST,27,80,72,81,73,78,42,78,68,0,62
Bosnia and Herzegovina,Esmir Bajraktarević,RW,20,67,77,54,65,76,40,59,79,0,51
Bosnia and Herzegovina,Jovo Lukić,ST,26,64,61,64,47,59,27,69,58,0,59
